{'fvalues': 979.824919225658, 'time_values': 5.720904350280762}
{'fvalues': 979.78191658888, 'time_values': 5.805542945861816}
{'fvalues': 979.6504442423184, 'time_values': 5.6613688468933105}
{'fvalues': 979.8045782350505, 'time_values': 5.68780517578125}
{'fvalues': 979.6611909238843, 'time_values': 5.64032506942749}
{'fvalues': 979.8778148085341, 'time_values': 5.629898548126221}
{'fvalues': 980.2155129458703, 'time_values': 5.764225959777832}
{'fvalues': 998.022282571973, 'time_values': 6.502545356750488}
{'fvalues': 997.96820706037, 'time_values': 6.494557857513428}
{'fvalues': 997.9935545139477, 'time_values': 6.5475006103515625}
{'fvalues': 997.9522483008604, 'time_values': 6.520979881286621}
{'fvalues': 998.0218846885581, 'time_values': 6.501004219055176}
{'fvalues': 997.9914524990895, 'time_values': 6.528885841369629}
{'fvalues': 997.9851025833493, 'time_values': 6.620687484741211}
{'fvalues': 997.9868581459381, 'time_values': 6.554523468017578}
{'fvalues': 998.0235560080382, 'time_values': 6.5346503257751465}
{'fvalues': 997.9801982648523, 'time_values': 6.537618637084961}
{'fvalues': 798.1981510823267, 'time_values': 12.711063385009766}
{'fvalues': 797.559746468535, 'time_values': 12.774972915649414}
{'fvalues': 797.9495897751983, 'time_values': 12.664236068725586}
{'fvalues': 796.3138922226159, 'time_values': 12.829419136047363}
{'fvalues': 798.7136868678667, 'time_values': 12.817117691040039}
{'fvalues': 797.4026924993891, 'time_values': 12.847773551940918}
{'fvalues': 797.0075261709595, 'time_values': 12.756593704223633}
{'fvalues': 802.0384891534841, 'time_values': 12.769311904907227}
{'fvalues': 796.386008057052, 'time_values': 12.691434860229492}
{'fvalues': 797.7543224010622, 'time_values': 12.734615325927734}
{'fvalues': 979.7579602913091, 'time_values': 5.820674419403076}
{'fvalues': 979.8234735795262, 'time_values': 5.813625812530518}
{'fvalues': 979.5538932253312, 'time_values': 5.803678512573242}
{'fvalues': 979.6683463005913, 'time_values': 5.780484199523926}
{'fvalues': 980.3037181908248, 'time_values': 5.8006744384765625}
{'fvalues': 980.0087442754307, 'time_values': 5.784424781799316}
{'fvalues': 979.9045449338113, 'time_values': 5.737455368041992}
{'fvalues': 979.4826660080279, 'time_values': 5.796500205993652}
{'fvalues': 979.692978655465, 'time_values': 5.780060768127441}
{'fvalues': 979.6575302929128, 'time_values': 5.792163372039795}
{'fvalues': 998.000670016994, 'time_values': 6.492643356323242}
{'fvalues': 997.9967497362833, 'time_values': 6.508829116821289}
{'fvalues': 997.9770300440646, 'time_values': 6.503425598144531}
{'fvalues': 997.9900922692959, 'time_values': 6.499409198760986}
{'fvalues': 997.9750634233745, 'time_values': 6.5059967041015625}
{'fvalues': 997.9878102834966, 'time_values': 6.619732856750488}
{'fvalues': 997.9988668090217, 'time_values': 6.544062614440918}
{'fvalues': 997.9949534255907, 'time_values': 6.569616317749023}
{'fvalues': 997.9572522769455, 'time_values': 6.584811210632324}
{'fvalues': 998.0058308637545, 'time_values': 6.474300861358643}
