{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 680.4488075073697, 'time_values': 38.1532096862793}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 10, 'step_schedule': 'constant'}, 'iterations': 5000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 529.95841425467, 'time_values': 15.828001022338867}
{'fvalues': 541.163290865834, 'time_values': 15.959033966064453}
{'fvalues': 541.38105964739, 'time_values': 15.796941757202148}
{'fvalues': 531.0236568929346, 'time_values': 15.751678466796875}
{'fvalues': 525.845680756053, 'time_values': 16.01548194885254}
{'fvalues': 529.1776103730148, 'time_values': 15.943469047546387}
{'fvalues': 539.3725469832755, 'time_values': 15.683220863342285}
{'fvalues': 534.5432143476688, 'time_values': 15.8927001953125}
{'fvalues': 537.4008434204522, 'time_values': 15.819581031799316}
{'fvalues': 538.8899392945442, 'time_values': 15.839282989501953}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 1, 'mu': 1e-08, 'sample_size': 100, 'step_schedule': 'constant'}, 'iterations': 500, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 949.5695691233899, 'time_values': 13.547102928161621}
{'fvalues': 951.5153698447983, 'time_values': 13.749659538269043}
{'fvalues': 944.2442080654181, 'time_values': 13.424803733825684}
{'fvalues': 942.8652068380422, 'time_values': 13.242727279663086}
{'fvalues': 954.233279091515, 'time_values': 13.574459075927734}
{'fvalues': 948.7294721965555, 'time_values': 13.543824195861816}
{'fvalues': 952.0488106594472, 'time_values': 13.300041198730469}
{'fvalues': 954.0694062127002, 'time_values': 13.31254768371582}
{'fvalues': 946.6657694064381, 'time_values': 13.381573677062988}
{'fvalues': 950.8434699799881, 'time_values': 13.577155113220215}
{'problem': 'piecewise-linear', 'properties': {'dim': 1000}, 'solver': 'proposed', 'params': {'lr': 0.0001, 'reduced_dim': 10, 'mu': 1e-08, 'sample_size': 1, 'step_schedule': 'constant'}, 'iterations': 50000, 'interval': 1000, 'trial_numbers': 10}
{'fvalues': 282.7149535072915, 'time_values': 37.86996841430664}
{'fvalues': 278.8521922687743, 'time_values': 37.86899185180664}
{'fvalues': 279.47095395762017, 'time_values': 38.032955169677734}
{'fvalues': 281.1755501925485, 'time_values': 38.28252029418945}
{'fvalues': 275.1182477188659, 'time_values': 38.13500213623047}
{'fvalues': 281.3952851409604, 'time_values': 38.13023376464844}
{'fvalues': 274.15550616440544, 'time_values': 37.74943542480469}
